top_k,weight_cap,vol_target,score,STOP_hits,TEST_CAGR%,TEST_Sharpe,TEST_MaxDD%,TEST_Calmar,TEST_TurnoverAnn,TEST_ExcessCAGR_vsQQQ%,FULL_CAGR%,FULL_Sharpe,FULL_MaxDD%,FULL_Calmar
3,0.65,0.26,0.2358458713642237,320,25.144649624678863,1.1981102473065166,-25.822726212401882,0.9737410921625557,11.246936800095721,7.769450594821636,21.124142331373918,1.1096027916637288,-25.822726212401868,0.818044623081998
3,0.65,0.3,0.2331008554543905,320,26.582467623645933,1.1681042269772626,-29.22446162875959,0.9095964867146196,11.86261839311466,9.207268593788708,22.392165392990158,1.0912838221604835,-29.224461628759556,0.7662131017994258
3,0.55,0.26,0.23216273635533158,320,25.02129822884156,1.193759473986618,-25.937902890053067,0.9646615740255927,11.153593884700383,7.646099198984335,21.02138027150069,1.1058216372531258,-25.93790289005303,0.8104502650274865
3,0.45,0.26,0.2307357720122346,320,25.045238620819134,1.1944639972661106,-26.297575259388527,0.952378246807287,10.973929721013198,7.670039590961908,21.02068826510508,1.1063334281101245,-26.297575259388427,0.7993394089670126
3,0.55,0.3,0.2283114876086158,320,26.402283406444106,1.1625463854427818,-29.37037352262567,0.8989427181137115,11.764824182333044,9.027084376586881,22.26201652444766,1.0875519045203006,-29.37037352262566,0.7579752605903349
3,0.45,0.3,0.22616020403132475,320,26.3809740813697,1.162911625580242,-29.795115445440334,0.8854127157076308,11.544933238690437,9.005775051512476,22.258884805512213,1.08972054846303,-29.795115445440356,0.7470648954615332
3,0.65,0.22,0.21394775190006787,320,22.379530275860017,1.2068579092939027,-22.435271103037223,0.9975154823437965,10.260665795593722,5.004331246002791,18.854537503186886,1.109244104003381,-22.435271103037245,0.840397132559472
3,0.55,0.22,0.21072154222389133,320,22.292513294780303,1.2029452469807453,-22.5557466680258,0.988329653763196,10.179823129434174,4.917314264923078,18.779855120387268,1.105943128853921,-22.555746668025833,0.8325973596346901
3,0.45,0.22,0.21032914056711888,320,22.362023559057896,1.2051957922764056,-22.88075975535072,0.9773287162734394,10.005854536088451,4.986824529200673,18.82143162007035,1.108046570210781,-22.88075975535062,0.8225877034379943
4,0.65,0.26,0.18867400501643486,434,23.14154874862806,1.1430959235725722,-26.163643700519522,0.8844925811372575,12.256208602235866,5.766349718770836,18.687307722090996,1.0284927043185097,-26.163643700519557,0.7142471414147833
4,0.55,0.26,0.18763094016728796,434,23.10446183881418,1.141575358948613,-26.17934204713285,0.8825455505038018,12.244727503104166,5.729262808956959,18.65010085940526,1.0268886158622037,-26.17934204713278,0.7123976158693363
4,0.45,0.26,0.18422079247321094,434,22.997829173488384,1.1368311254780499,-26.28842695238165,0.8748271326826138,12.183408661648478,5.622630143631158,18.46015052992973,1.0190151106935244,-26.28842695238146,0.702215867209104
4,0.65,0.22,0.18245623784652026,434,21.17360091785807,1.158614612204714,-22.326241328759956,0.9483728410022564,11.460639838626534,3.7984018880008463,17.05798641125522,1.0320643598065342,-22.326241328759945,0.7640330568890552
4,0.55,0.22,0.18140416910343096,434,21.13963348414918,1.1570747429907144,-22.341848493399397,0.9461899936522532,11.449933631912698,3.764434454291954,17.025033227693886,1.0304853376416832,-22.34184849339964,0.762024379170037
4,0.45,0.22,0.17852873268665295,434,21.057631921997675,1.1534032627712165,-22.434999027082505,0.9386063220496631,11.385193951352997,3.6824328921404526,16.9082590692486,1.0251011830881636,-22.43499902708257,0.7536554402715896
4,0.65,0.3,0.17767190779407444,434,24.01505638440675,1.1221430696686197,-30.48242590102115,0.7878328471095294,12.652769913048859,6.639857354549528,19.287060924630794,1.011162372974896,-30.48242590102117,0.6327272306757145
4,0.55,0.3,0.1763417111392283,434,23.962133526615336,1.1201980273026573,-30.49646472550861,0.7857347972065869,12.638755116783118,6.586934496758112,19.23628235425754,1.0092130422641838,-30.496464725508687,0.6307708951643631
4,0.45,0.3,0.1719709643088764,434,23.791509384412034,1.1140309874683678,-30.570529594033214,0.7782498275416101,12.565513919823971,6.416310354554811,19.016232838589776,1.0018589854622917,-30.570529594033324,0.6220445995250705
5,0.55,0.22,0.15116648975114605,552,19.898152690364522,1.1223015600280488,-22.475505280621555,0.8853261558271069,11.398760792393789,2.522953660507299,15.183619578364539,0.9586108620292724,-22.4755052806216,0.6755629913003944
5,0.65,0.22,0.1510520295376121,552,19.89387939704701,1.1220902799144297,-22.47387819875486,0.8852001074807466,11.402865862661855,2.518680367189785,15.178374376965476,0.9583410208409454,-22.473878198754893,0.6753785102299964
5,0.45,0.22,0.1498329811211991,552,19.88449572725328,1.121391234316478,-22.625230849522428,0.878863772020828,11.3874912898672,2.5092966973960573,15.162039725687283,0.9572619614588297,-22.625230849522502,0.670138564619652
5,0.55,0.26,0.13436085723563918,552,20.75465400209491,1.086312342407201,-26.739811327700547,0.7761705476431152,11.981870512836034,3.379454972237683,15.628293881592326,0.929311627602601,-26.7398113277005,0.5844578965073904
5,0.65,0.26,0.13425333898970032,552,20.750441804633656,1.0861179227527247,-26.738240725678818,0.7760586052584001,11.985968880716685,3.3752427747764324,15.623076972176397,0.9290578201849482,-26.738240725678818,0.5842971170938833
5,0.45,0.26,0.1332185732489545,552,20.73586156412601,1.0854312084569802,-26.88511318966048,0.771276706846845,11.968014866530119,3.360662534268788,15.603881539801634,0.9280433364132105,-26.885113189660505,0.5803911417342511
5,0.55,0.3,0.11172909933736978,552,20.723406770870323,1.0539792125039245,-30.41906077847201,0.6812638602417523,12.196987987205862,3.3482077410130984,15.60078217773,0.9083730253721248,-30.419060778472172,0.512862060118924
5,0.65,0.3,0.11162452157937153,552,20.719195663383715,1.0537923656004256,-30.417569054716065,0.6811588271933693,12.201086355086511,3.3439966335264915,15.595566509585224,0.908125332038097,-30.417569054716143,0.5127157427186702
5,0.45,0.3,0.11055934524609451,552,20.697575028391956,1.053130465590837,-30.590463957010215,0.6766021939869542,12.183602309735488,3.3223759985347323,15.572653699590134,0.9071301736312198,-30.59046395701037,0.5090688955053057
