id,Country (or dependency),Population 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop,World Share
1,India,1463865525,0.010,12929734,492,2973190,"−495,753",1.94,28.8,0.37,0.18
2,China,1416096094,-0.002,"−3,225,184",151,9388211,"−268,126",1.02,40.1,0.68,0.17
3,United States,347275807,0.010,1849236,38,9147420,1230663,1.62,38.5,0.83,0.04
4,Indonesia,285721236,0.010,2233305,158,1811570,"−39,509",2.1,30.4,0.6,0.03
5,Pakistan,255219554,0.020,3950390,331,770880,"−1,235,336",3.5,20.6,0.34,0.03
6,Nigeria,237527782,0.020,4848304,261,910770,"−15,258",4.3,18.1,0.55,0.03
7,Brazil,212812405,0.000,813832,25,8358140,"−217,283",1.6,34.8,0.91,0.03
8,Bangladesh,175686899,0.010,2124535,1350,130170,"−402,100",2.11,26,0.43,0.02
9,Russia,143997393,-0.006,"−823,030",9,16376870,"−251,822",1.47,40.3,0.75,0.02
10,Ethiopia,135472051,0.030,3412284,135,1000000,24054,3.81,19.1,0.23,0.02
11,Mexico,131946900,0.010,1085893,68,1943950,"−108,037",1.87,29.6,0.88,0.02
12,Japan,123103479,-0.005,"−649,562",338,364555,140579,1.23,49.8,0.93,0.02
13,Egypt,118365995,0.020,1827737,119,995450,"−57,305",2.71,24.5,0.41,0.01
14,Philippines,116786962,0.010,943292,392,298170,"−149,315",1.88,26.1,0.49,0.01
15,DR Congo,112832473,0.030,3556208,50,2267050,"−27,309",5.9,15.8,0.45,0.01
16,Vietnam,101598527,0.010,610841,328,310070,"−48,171",1.88,33.4,0.41,0.01
17,Iran,92417681,0.010,849943,57,1628550,116786,1.67,34,0.73,0.01
18,Turkey,87685426,0.000,211621,114,769630,"−258,205",1.62,33.5,0.77,0.01
19,Germany,84075075,-0.006,"−477,167",241,348560,"−334,072",1.46,45.5,0.77,0.01
20,Thailand,71619863,-0.001,"−48,148",140,510890,27509,1.2,40.6,0.54,0.01
21,Tanzania,70545865,0.030,1985708,80,885800,"−12,730",4.47,17.5,0.4,0.01
22,United Kingdom,69551332,0.010,413140,287,241930,389911,1.54,40.1,0.85,0.01
23,France,66650804,0.000,102274,122,547557,91737,1.64,42.3,0.83,0.01
24,South Africa,64747319,0.010,740132,53,1213090,146370,2.19,28.7,0.67,0.01
25,Italy,59146260,-0.003,"−196,607",201,294140,75448,1.21,48.2,0.72,0.01
26,Kenya,57532493,0.020,1099549,101,569140,"−27,330",3.12,20,0.32,0.01
27,Myanmar,54850648,0.010,350557,84,653290,"−39,661",2.08,30.1,0.34,0.01
28,Colombia,53425635,0.010,539272,48,1109500,129139,1.62,32.5,0.81,0.01
29,South Korea,51667029,-0.001,"−50,561",531,97230,65731,0.75,45.6,0.82,0.01
30,Sudan,51662147,0.020,1213184,29,1765048,291469,4.19,18.5,0.35,0.01
31,Uganda,51384894,0.030,1369802,257,199810,"−119,059",4.06,16.9,0.3,0.01
32,Spain,47889958,0.000,"−20,568",96,498800,96630,1.23,45.9,0.79,0.01
33,Algeria,47435312,0.010,621004,20,2381740,"−27,531",2.67,28.6,0.74,0.01
34,Iraq,47020774,0.020,978759,108,434320,"−1,064",3.17,20.8,0.72,0.01
35,Argentina,45851378,0.000,155219,17,2736690,2859,1.5,32.9,0.96,0.01
36,Afghanistan,43844111,0.030,1196619,67,652860,"−74,404",4.66,17.3,0.27,0.01
37,Yemen,41773878,0.030,1190714,79,527970,"−16,291",4.41,18.4,0.33,0.01
38,Canada,40126723,0.010,384293,4,9093510,326204,1.33,40.6,0.8,0
39,Angola,39040039,0.030,1154190,31,1246700,"−3,524",4.95,16.6,0.69,0
40,Ukraine,38980376,0.030,1120155,67,579320,1702358,1,41.8,0.77,0
41,Morocco,38430770,0.010,349597,86,446300,"−56,254",2.18,29.8,0.67,0
42,Poland,38140910,-0.010,"−398,291",125,306230,"−330,820",1.31,42.5,0.59,0
43,Uzbekistan,37053428,0.020,691569,87,425400,"−6,987",3.45,27,0.48,0
44,Malaysia,35977838,0.010,420165,110,328550,166615,1.53,31,0.77,0
45,Mozambique,35631653,0.030,999887,45,786380,"−65,573",4.62,16.5,0.42,0
46,Ghana,35064272,0.020,636858,154,227540,"−17,079",3.3,21.3,0.59,0
47,Peru,34576665,0.010,358817,27,1280000,11931,1.94,30.2,0.81,0
48,Saudi Arabia,34566328,0.020,603571,16,2149690,119738,2.29,29.6,0.92,0
49,Madagascar,32740678,0.020,775722,56,581795,"−2,227",3.85,19.2,0.4,0
50,Côte d'Ivoire,32711547,0.020,777317,103,318000,11305,4.17,18.3,0.49,0
51,Cameroon,29879337,0.030,755593,63,472710,"−15,379",4.18,18,0.59,0
52,Nepal,29618118,-0.001,"−32,936",207,143350,"−364,699",1.94,25.3,0.25,0
53,Venezuela,28516896,0.000,111353,32,882050,"−100,467",2.06,29.4,0,0
54,Niger,27917831,0.030,885419,22,1266700,"−7,704",5.79,15.6,0.18,0
55,Australia,26974026,0.010,260821,4,7682300,137109,1.64,38.3,0.87,0
56,North Korea,26571036,0.000,72213,221,120410,"−2,787",1.77,36.5,0.63,0
57,Syria,25620427,0.040,947667,140,183630,421693,2.66,23.3,0.54,0
58,Mali,25198821,0.030,720226,21,1220190,"−48,019",5.42,15.7,0.44,0
59,Burkina Faso,24074580,0.020,525799,88,273600,"−27,130",4,17.7,0.34,0
60,Sri Lanka,23229470,0.010,125905,370,62710,"−30,724",1.94,33.3,0.18,0
61,Taiwan,23112793,-0.004,"−101,169",653,35410,"−20,947",0.86,44.8,0.84,0
62,Malawi,22216120,0.030,560834,236,94280,"−5,628",3.53,18.1,0.2,0
63,Zambia,21913874,0.030,598918,29,743390,6562,3.97,17.9,0.47,0
64,Chad,21003705,0.030,704582,17,1259200,"−123,104",5.94,15.8,0.22,0
65,Kazakhstan,20843754,0.010,251183,8,2699700,"−8,834",2.95,29.7,0.55,0
66,Chile,19859921,0.000,95150,27,743532,51712,1.13,36.9,0.85,0
67,Somalia,19654739,0.030,645588,31,627340,12077,5.91,15.6,0.47,0
68,Senegal,18931966,0.020,429982,98,192530,"−12,636",3.71,19.6,0.52,0
69,Romania,18908650,-0.006,"−106,438",82,230170,"−29,041",1.71,43.2,0.55,0
70,Guatemala,18687881,0.020,281522,174,107160,"−7,959",2.26,23.4,0.57,0
71,Netherlands,18346819,0.010,118077,544,33720,104681,1.44,41.5,0.89,0
72,Ecuador,18289896,0.010,154418,74,248360,"−17,219",1.79,29.3,0.66,0
73,Cambodia,17847982,0.010,209181,101,176520,"−31,469",2.51,26.2,0.27,0
74,Zimbabwe,16950795,0.020,316422,44,386850,"−54,555",3.62,18.1,0.38,0
75,Guinea,15099727,0.020,344942,61,245720,"−16,282",4.04,18.3,0.4,0
76,Benin,14814460,0.020,351736,131,112760,"−7,847",4.42,18,0.48,0
77,Rwanda,14569341,0.020,312774,591,24670,6282,3.59,19.9,0.18,0
78,Burundi,14390003,0.020,342217,560,25680,"−34,727",4.67,16.4,0.15,0
79,Bolivia,12581843,0.010,168528,12,1083300,"−3,179",2.5,25.2,0.71,0
80,Tunisia,12348573,0.010,71464,79,155360,"−14,523",1.8,32.9,0.72,0
81,South Sudan,12188788,0.020,245380,20,610952,6145,3.71,18.7,0.28,0
82,Haiti,11906095,0.010,133538,432,27560,"−32,052",2.59,24.1,0.62,0
83,Belgium,11758603,0.000,19840,388,30280,31989,1.39,41.9,0.99,0
84,Jordan,11520684,-0.003,"−32,192",130,88780,"−303,267",2.57,24.7,0.85,0
85,Dominican Republic,11520487,0.010,92930,238,48320,"−35,306",2.19,28.3,0.86,0
86,United Arab Emirates,11346000,0.030,318871,136,83600,158634,1.21,31.6,0.81,0
87,Honduras,11005850,0.020,180147,98,111890,"−4,778",2.45,24.2,0.58,0
88,Cuba,10937203,-0.004,"−42,580",103,106440,"−22,244",1.45,42.2,0.82,0
