n,fast,slow,score,avg_sharpe,std_sharpe,avg_calmar,worst_dd,splits
60,5,60,0.6330559683938056,1.1395382083454673,1.0129644799033233,2.115403925128581,-0.14460719809026235,12
60,5,50,0.6049989938969546,1.1110379354455555,1.012077883097202,2.046278100568526,-0.14444625103232178,12
60,5,100,0.6048463940098874,1.1222860924352525,1.0348793968507302,2.073192995472668,-0.1434636195828365,12
60,5,80,0.6005345507250712,1.1217037372985932,1.042338373147044,2.0942194743441873,-0.14680105757149142,12
50,5,50,0.5983448789656987,1.0979420034713228,0.9991942490112481,2.0616942090682264,-0.1485128102196912,12
80,5,60,0.5926028907369904,1.121087465024116,1.0569691485742514,2.320479809590355,-0.15044870077496064,12
80,3,100,0.5834042153544626,1.0953745321693018,1.0239406336296784,2.2935362721463517,-0.1550137077170889,12
50,5,60,0.5832250097983531,1.0786928186296547,0.9909356176626033,2.01243807312712,-0.1419212773366989,12
80,5,30,0.582309747079792,1.0872929849512016,1.0099664757428193,2.2435144004739196,-0.1595560565292513,12
50,5,40,0.5812706841559684,1.0845362554674156,1.0065311426228944,2.028726893612197,-0.15053877972406993,12
80,5,80,0.5790578010941678,1.0953391253924747,1.0325626485966137,2.1035621674853915,-0.15345725806195776,12
80,3,80,0.5773918129924266,1.0878603778970277,1.0209371298092023,2.2809909013094276,-0.1604845787486725,12
60,3,100,0.5758069667586675,1.0980239941945704,1.0444340548718059,2.2036920428815083,-0.16915374728053034,12
60,5,40,0.566680627035524,1.0863570964585911,1.0393529388461342,1.9900365939880096,-0.15432246229826574,12
60,5,30,0.559902369315635,1.1128908841786405,1.105977029726011,2.330646877007775,-0.16279342083537518,12
40,5,50,0.5590371228627452,1.0591147616763095,1.0001552776271285,2.0227251032484985,-0.14642033098559626,12
80,3,60,0.5588172535759441,1.057882761928233,0.9981310167045777,2.146515583541314,-0.15855602498219257,12
30,5,100,0.5555929659737706,1.0502398994490567,0.9892938669505723,1.9610473522284675,-0.14998967847675537,12
80,5,40,0.5534511184188156,1.075881593633766,1.044860950429901,2.2426388958293804,-0.15608930772155072,12
60,3,80,0.5516434244655456,1.0727098660129115,1.0421328830947318,2.1537226160095746,-0.1658389613581669,12
80,5,50,0.547586228864695,1.0858607237894555,1.076548989849521,2.183319197896672,-0.1554007075868643,12
80,5,100,0.5475460495484028,1.0461282203286946,0.9971643415605835,2.0507197100286625,-0.1498081053876622,12
40,5,40,0.5443197372848461,1.0450603039330484,1.0014811332964046,1.9673042597372412,-0.14669777761581237,12
20,5,100,0.5411639980960141,1.0609580884539773,1.0395881807159264,2.10200900820711,-0.1490899639620774,12
20,5,80,0.534689835937087,1.058982467888702,1.0485852639032303,2.1193264138565127,-0.15463593820369725,12
50,5,80,0.5326209245520075,1.03052565304947,0.9958094569949248,1.9318491892473044,-0.14326959762356817,12
50,5,100,0.5313853411909243,1.0240448895950702,0.9853190968082919,1.9049175021249887,-0.14323672268458787,12
30,5,80,0.5277287599260471,1.0248052380418649,0.9941529562316356,1.923147298147831,-0.15098916021765751,12
100,3,60,0.5253987313260422,0.9873416052042789,0.9238857477564735,1.8093262994626613,-0.1554738334309541,12
80,3,50,0.5225555640819473,1.0374366967545399,1.0297622653451852,2.1797392857764666,-0.1655022986135497,12
50,5,30,0.5197351313068723,1.0377862147376116,1.0361021668614785,2.022117844428814,-0.16535909608313792,12
30,5,60,0.5171637078241718,1.011836633666489,0.9893458516846346,1.9194912557791124,-0.15420063986373755,12
40,5,60,0.5141177043931946,1.0199627189980507,1.0116900292097122,1.9433865422910204,-0.15008426764780147,12
40,5,80,0.509024134817606,1.0225903071792284,1.0271323447232448,1.9729764872089592,-0.14583523052535452,12
40,5,100,0.5079624334122674,1.0214607158871891,1.0269965649498434,1.9693277989982654,-0.14477979883591963,12
100,5,40,0.4878106214284329,0.9792574486432685,0.9828936544296711,1.8226255848580901,-0.15551860094942116,12
30,5,30,0.48684429448848676,1.0414442899590874,1.1091999909412014,2.1217837560586026,-0.1584411926597059,12
60,3,60,0.48605136735244114,1.0683082788292486,1.164513822953615,2.374234853920816,-0.16679149812888183,12
100,5,30,0.48288898671058356,0.9630582152532412,0.9603384570853153,1.7258171700377405,-0.15657865218852685,12
100,3,100,0.47754815050898664,0.9617326423614161,0.9683689837048589,1.7757304823712596,-0.15336454290541945,12
100,5,80,0.477451193962257,0.9926580965180816,1.0304138051116492,1.855954876702068,-0.1561983986468548,12
100,5,60,0.47603709101837666,0.9894182147968728,1.0267622475569922,1.8585120235990231,-0.1556652282193921,12
100,3,80,0.47337862800935054,0.9538099358792729,0.9608626157398447,1.76591420545538,-0.15835183476454884,12
80,3,30,0.4709629049445416,0.9943441749275043,1.0467625399659253,2.0427770159581606,-0.1650753309997871,12
100,5,100,0.46786427454776436,0.9817885248949033,1.027848500694278,1.8387961427290813,-0.15821887396540724,12
30,2,100,0.46563445168761236,0.934334149324422,0.9373993952736194,1.7299885371273056,-0.09440486593748298,12
30,2,80,0.46499922383032516,0.9270500986331799,0.9241017496057095,1.6946700687142953,-0.0954467997079621,12
100,5,50,0.4615474367424509,0.9654862156169358,1.0078775577489698,1.8215187260230268,-0.15832584404332462,12
60,3,50,0.4576951414562346,1.0503392140105363,1.1852881451086035,2.350674968867969,-0.17429179500206027,12
100,3,50,0.45633561561906283,0.9516870734329722,0.9907029156278188,1.7704904435248245,-0.15089999527535414,12
