n,fast,slow,score,avg_sharpe,std_sharpe,avg_calmar,worst_dd,splits
80,3,30,0.3884712674687128,0.8446839323893641,0.9124253298413026,1.581431947227373,-0.14865226606444637,12
80,5,30,0.3675255683486892,0.7922126715338509,0.8493742063703233,1.3749362527129871,-0.1498117896316502,12
80,3,40,0.36498184506479464,0.8198092877861353,0.9096548854426812,1.5420156046998625,-0.15656789439544505,12
80,2,30,0.34116673369420936,0.7910563428984302,0.8997792184084417,1.630421191305319,-0.1330184101335622,12
80,2,40,0.33200336497446714,0.791495576476354,0.9189844230037738,1.6443902722720842,-0.17767307950363298,12
50,5,30,0.33153003273203685,0.8077644952504199,0.9524689250367662,1.4509486550491901,-0.16599783397820478,12
80,3,50,0.3204237237107775,0.783359366576902,0.925871285732249,1.4825045128564556,-0.15580138667927956,12
50,5,50,0.3040561331364255,0.7553682019991622,0.9026241377254735,1.397243873138973,-0.16535169424333918,12
80,3,100,0.3035847666776548,0.7436846101307345,0.8801996869061594,1.361924796702861,-0.15831345717260803,12
80,5,40,0.3023092841085333,0.7428248770835978,0.881031185950129,1.4051924752048104,-0.15740410180257058,12
60,5,50,0.30226483800066367,0.7829437529585009,0.9613578299156745,1.5330347192381695,-0.1555418293069284,12
80,2,50,0.3019292160421472,0.7549042545684173,0.9059500770525402,1.467244470160716,-0.18643782544694731,12
80,3,60,0.29916359347090543,0.7391002188323567,0.8798732507229025,1.3299506668987062,-0.15868031679895467,12
80,3,80,0.2978885379919287,0.7414844061109863,0.8871917362381152,1.3676692385687785,-0.165495839393077,12
60,5,60,0.2941701496996984,0.7702177462191667,0.9520951930389366,1.505730204705027,-0.15884998270852269,12
50,3,100,0.293493258515673,0.7764285766664725,0.965870636301599,1.4208273014897863,-0.17462714789120415,12
60,3,100,0.2925913020453739,0.7627913818417226,0.9404001595926973,1.3929917963871559,-0.1756101514339682,12
50,3,80,0.2912358091673812,0.7682089198467675,0.9539462213587727,1.388525125825648,-0.17218245539414712,12
80,2,100,0.28886752073433614,0.7568404819340945,0.9359459223995167,1.468740707279924,-0.16571222409028674,12
80,2,80,0.2878827838450287,0.7530323635542043,0.9302991594183513,1.471175630121986,-0.17392041897552768,12
60,5,40,0.2855111513096203,0.7797021724407539,0.9883820422622672,1.498973444429829,-0.14835433161224088,12
60,3,40,0.2832850385482522,0.7202436782267054,0.8739172793569064,1.2643670914878318,-0.15194438438521507,12
100,5,60,0.2817664785989933,0.7511524944887329,0.9387720317794792,1.4411312079367333,-0.13449168168065673,12
50,5,40,0.28140303913501435,0.7688544386179066,0.9749027989657845,1.4916112468730038,-0.16638722851462517,12
40,5,80,0.27983583125494815,0.7274747188376635,0.8952777751654306,1.3593542307684705,-0.09604684822298648,12
80,5,50,0.27969174881262704,0.7502171943577695,0.9410508910902848,1.470008157047044,-0.1731255358278877,12
50,3,50,0.27575240798243633,0.7709423093690707,0.9903798027732688,1.4868207326574892,-0.18744382572059826,12
80,5,100,0.2736818639088044,0.7446457093301214,0.9419276908426341,1.4217246360657996,-0.1769726600299214,12
60,5,100,0.2731689001361781,0.786877708231562,1.0274176161907678,1.5600115521765774,-0.15496374331905394,12
50,5,60,0.27045561503973914,0.7375032584046518,0.9340952867298253,1.3954936355717995,-0.15804748932637425,12
60,5,80,0.2693613488954558,0.7807343226366856,1.0227459474824596,1.513562055537003,-0.15946737480256246,12
80,2,60,0.2693057951857386,0.7348952242595709,0.9311788581476645,1.4470991219045795,-0.17940340500829377,12
40,5,100,0.26419791195390263,0.7248595030927616,0.9213231822777179,1.3875971745903823,-0.1087660857309144,12
50,3,60,0.26375402350179317,0.7217794685953466,0.9160508901871068,1.2911119751055273,-0.1767241276692545,12
60,3,80,0.25787540966079703,0.7141518810619553,0.9125529428023165,1.2970434352019162,-0.1727497810684333,12
50,3,40,0.2557482013040381,0.741554952504623,0.9716135024011698,1.4250832403476739,-0.17383159354598277,12
80,5,80,0.2545014297717812,0.7425849137872705,0.9761669680309787,1.4418908730723166,-0.18985478836778358,12
40,5,40,0.2531980218484764,0.7674598083731096,1.0285235730492663,1.42892949216642,-0.13382287656956304,12
100,5,80,0.25304127908160207,0.7375790415315503,0.9690755248998965,1.4502724426233409,-0.1407945487546558,12
60,3,50,0.25228868280591854,0.6940101120642593,0.8834428585166816,1.2835263889110036,-0.1645197775331516,12
100,5,100,0.2519240670020735,0.7444392022375869,0.9850302704710268,1.4728600305511754,-0.1456944192987285,12
50,5,80,0.2519150958554378,0.72399598876562,0.9441617858203644,1.3866082552646777,-0.15575080778891937,12
80,5,60,0.24868547510346323,0.7447308250165626,0.9920906998261988,1.4503646635412066,-0.18943293994427357,12
60,3,60,0.2456438689664454,0.6911916060592914,0.891095474185692,1.255696716512296,-0.171125113943567,12
60,2,80,0.24012599750282426,0.6665151933711424,0.8527783917366363,1.1733237953092512,-0.15822248529721483,12
50,5,100,0.23993953787553446,0.7197407679999387,0.9596024602488085,1.372450525403341,-0.1612699995652589,12
60,2,100,0.23889153440791644,0.6756099267416246,0.8734367846674163,1.1997399177883556,-0.16040546245449794,12
100,3,100,0.23697659513108116,0.6974489087625756,0.9209446272629889,1.328038376513414,-0.13482918805581734,12
50,3,30,0.23666624528779878,0.7390944060585322,1.0048563215414668,1.4509875162243329,-0.17628130259305685,12
100,5,50,0.23409652304935524,0.7335232717583763,0.9988534974180421,1.524242312344439,-0.15378861131243993,12
