n,fast,slow,score,avg_sharpe,std_sharpe,avg_calmar,worst_dd,splits
50,5,40,0.4803585959882798,0.906270507148503,0.8518238223204464,1.6612233431208463,-0.17533044938121123,12
50,5,100,0.4628287422584525,0.9032863025423069,0.8809151205677088,1.6883312137459423,-0.20522780218625947,12
50,5,50,0.44965965417461823,0.8948192783617078,0.8903192483741792,1.6795302636609986,-0.20802110485646674,12
50,5,60,0.4486762044942831,0.8934165631516486,0.8894807173147311,1.67199299755406,-0.2173191547732356,12
60,3,100,0.4477515511222356,0.8654843355216082,0.8354655687987452,1.5867631921059573,-0.15431601594101352,12
40,5,80,0.42520647182017784,0.8773173373494375,0.9042217310585193,1.692304758807971,-0.2140633308138442,12
40,5,100,0.4235039311851412,0.872671701800463,0.8983355412306437,1.6627184094553076,-0.21849694183303892,12
60,5,80,0.4178581393473821,0.8726676476326608,0.9096190165705574,1.6706907593180034,-0.2071581095040792,12
60,3,80,0.4176388104352575,0.8572113043185698,0.8791449877666246,1.6019582346382208,-0.17218072581767774,12
40,5,60,0.4146072709060143,0.8677269038233045,0.9062392658345805,1.666493985578626,-0.19918541354179642,12
60,5,40,0.4139230866613825,0.8624128515418027,0.8969795297608404,1.6426636901412204,-0.2054611551827754,12
50,5,80,0.41222855647009116,0.8678831336941397,0.9113091544480971,1.650059197507925,-0.22261705968835677,12
60,5,50,0.4062839969922286,0.8613102831983904,0.9100525724123236,1.6454746524009274,-0.19902255127089064,12
40,5,40,0.402829028774274,0.8593612299021802,0.9130644022558124,1.6746689569430917,-0.21644333303640262,12
60,5,30,0.3984103769147883,0.8418720838636587,0.8869234138977409,1.5776228349286257,-0.20083973202738425,12
60,5,60,0.3973979535066629,0.863009903749176,0.9312239004850261,1.6658422452820476,-0.21134361487613207,12
50,5,30,0.39672321755734236,0.8413733668417542,0.8893002985688238,1.56227815240279,-0.21392137073268647,12
20,5,100,0.3933580983544462,0.8422287214240877,0.897741246139283,1.5957028535903641,-0.19052613045274935,12
60,5,100,0.3925711568324032,0.8644054122913173,0.9436685109178282,1.6928272798740724,-0.24274112536494086,12
80,5,60,0.3874210498020574,0.8239325638191849,0.873023028034255,1.5804911906402805,-0.18809964183741645,12
40,5,50,0.38489463098305293,0.8552517444904449,0.940714227014784,1.6722216137594874,-0.21630830606991547,12
80,3,100,0.3847393648374438,0.8057776626857254,0.8420765956965631,1.4961250386790503,-0.15611508611148506,12
80,5,30,0.3737037235366811,0.8089088081064583,0.8704101691395544,1.5068577230299935,-0.17569992735418205,12
20,5,80,0.37309271357339896,0.8231435164032904,0.9001016056597829,1.5565769103104152,-0.19864958843654046,12
30,5,80,0.36936498805965806,0.8225220236347154,0.9063140711501146,1.5762742340226417,-0.22266473569069722,12
60,3,60,0.3656833357757202,0.8270216795907598,0.9226766876300792,1.5821491478263427,-0.18664815837623527,12
30,5,50,0.3654879228750056,0.8194333092765774,0.9078907728031437,1.569067097815528,-0.21176653828455094,12
80,3,80,0.3599124604327039,0.7916254882364795,0.8634260556075511,1.5021551864210947,-0.15611508611148506,12
80,5,50,0.3591785129224717,0.8051584742641905,0.8919599226834376,1.5504960208860759,-0.20309343055256013,12
30,5,60,0.3572266319320254,0.8150628523283691,0.9156724407926873,1.5669187805891314,-0.21341189601723443,12
40,5,30,0.3551539506295435,0.8136709958078607,0.9170340903566344,1.5394636285485654,-0.23603425595096017,12
60,3,40,0.35234749456933,0.8139076694121729,0.9231203496856857,1.5512392372957444,-0.19535554954886092,12
30,5,40,0.34692349536078254,0.8084171677313919,0.9229873447412188,1.5662999101984598,-0.22064525071288577,12
20,5,50,0.3406950214458959,0.7981411451808192,0.9148922474698467,1.5116961863095788,-0.22526854452243394,12
30,5,100,0.34030944918182904,0.8060072572859003,0.9313956162081425,1.5509804957659317,-0.20448390459824417,12
20,5,60,0.3357590548680476,0.8003390698321043,0.9291600299281135,1.5409234988954859,-0.22834828841129795,12
60,2,100,0.32683347118781925,0.7453447641483698,0.8370225859211011,1.3732190448904518,-0.1782033693589402,12
80,5,40,0.32362586249794695,0.7693103928500423,0.8913690607041908,1.466016390334586,-0.19564371958608218,12
20,5,40,0.32273518914778326,0.7909725383624083,0.9364746984292501,1.5103087819522905,-0.24066311397589413,12
80,3,60,0.319438599110883,0.761763055664706,0.884648913107646,1.4371137391808364,-0.18755806403435316,12
50,3,100,0.31801638662613635,0.7982445212841003,0.9604562693159279,1.541269516699206,-0.24816044163074946,12
60,3,50,0.3132846319189087,0.7950963353017251,0.9636234067656327,1.5520077920132724,-0.22644793055229195,12
60,3,30,0.30844679452926016,0.7769623063208763,0.9370310235832322,1.4961028523435305,-0.22476990884068393,12
40,2,40,0.30585179181750316,0.7408767289264203,0.8700498742178343,1.4760638761454998,-0.2083152201894083,12
50,3,80,0.3007197032246207,0.7830959936719686,0.9647525808946957,1.5171556292630506,-0.25110675056380516,12
80,3,40,0.3000335810632201,0.7576451789125058,0.9152231956985715,1.4437332163313616,-0.19903246336382518,12
40,3,100,0.2919750939817767,0.780933603981346,0.9779170199991387,1.5478350471818805,-0.2673640552471791,12
40,2,50,0.2913218866040303,0.7372713018270477,0.8918988304460348,1.4702791308612495,-0.20629911545187962,12
80,2,100,0.2887923602836216,0.6978198688799501,0.8180550171926569,1.2659518102228302,-0.15479207211679302,12
30,5,30,0.28315547180244527,0.7593964392043975,0.9524819348039044,1.4674467849794617,-0.25062078487246664,12
